TIME,open,high,low,close
2021-01-05 01:00:00,6.06469,6.06723,6.05958,6.05969
2021-01-05 01:15:00,6.05977,6.06559,6.05833,6.06495
2021-01-05 01:30:00,6.0653,6.06739,6.06226,6.06376
2021-01-05 01:45:00,6.06374,6.0678,6.06111,6.06606
2021-01-05 02:00:00,6.06601,6.06731,6.06416,6.06654
2021-01-05 02:15:00,6.06656,6.06969,6.06544,6.06548
2021-01-05 02:30:00,6.06553,6.06865,6.0649,6.06749
2021-01-05 02:45:00,6.06756,6.07151,6.06746,6.07096
2021-01-05 03:00:00,6.07097,6.0711,6.06585,6.0663
2021-01-05 03:15:00,6.06633,6.06633,6.06633,6.06633
2021-01-05 03:30:00,6.06684,6.06684,6.06684,6.06684
2021-01-05 04:00:00,6.0663,6.07063,6.06515,6.06792
2021-01-05 04:15:00,6.06794,6.06912,6.06546,6.06601
2021-01-05 04:30:00,6.06595,6.06699,6.06352,6.06522
2021-01-05 04:45:00,6.06545,6.06672,6.06236,6.06601
2021-01-05 05:00:00,6.06621,6.06654,6.06265,6.06283
2021-01-05 05:15:00,6.06322,6.06484,6.06247,6.06247
2021-01-05 07:30:00,6.06283,6.06283,6.06283,6.06283
2021-01-05 07:45:00,6.06383,6.06525,6.06338,6.06525
